0	a
This place has got to be the best japanese restaurant in the new york area.	2
I had a great experience.	2
Food is great.	2
Service is top notch.	2
I have been going back again and again.	2
I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.	2
It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.	2
The sushi seemed pretty fresh and was adequately proportioned.	2
The rice to fish ration was also good--they didn't try to overpack the rice.	2
We took advanatage of the half price sushi deal on saturday so it was well worth it.	2
Surprisingly nothing could be further from the truth.	2
In the evening, this place attracted a well dressed, with it, NY crowd.	2
The food was well prepared and the service impecable.	2
I'm going back.	2
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.	2
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	2
I will be going back and heartily recommend it!	2
It is terrific, as is the value.	2
$6 and there is much tasty food, all of it fresh and continually refilled.	2
I am not a vegetarian but, almost all the dishes were great.	2
Go hungry and enjoy.	2
The food here is rather good, but only if you like to wait for it.	2
I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.	2
The service varys from day to day- sometimes they're very nice, and sometimes not.	0
The kitchen however, is almost always slow.	0
Also, specify if you like your food spicy- its rather bland if you don't.	0
The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.	2
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.	2
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	2
The lava cake dessert was incredible and I recommend it.	2
Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.	2
This tiny restaurant is as cozy as it gets, with that certain Parisian flair.	2
The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.	2
However, go for the ambience, and consider the food just a companion for a trip across the world!	2
IT WAS HORRIBLE.	0
The pizza was delivered cold and the cheese wasn't even fully melted!	0
It looked like shredded cheese partly done - still in strips.	0
This has got to be one of the most overrated restaurants in Brooklyn.	0
The pizza is overpriced and soggy.	0
Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.	2
A big disappointment, all around.	0
I think I've had some the best meals of my life at minnow.	2
The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.	2
The combination of super-fresh ingredients in the dishes are unusual but really delicious.	2
Worth the trip from Manhattan.	2
Best Pastrami I ever had and great portion without being ridiculous.	2
My wife had the fried shrimp which are huge and loved it.	2
As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	2
This place is the most Japanese it can ever get.	2
The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	2
This place is worth an one-hour drive.	2
I am so coming back here again, as much as I can.	2
Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	2
My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.	2
Decent wine at reasonable prices.	1
Have been dozens of times and never failed to enjoy the experience.	2
Our teenage kids love it, too.	2
Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.	2
This is by far my favorite place in the neighborhood.	2
The service is excellent, the decor is great, and the food is delicious and comes in large portions.	2
I'm partial to the Gnocchi.	2
This place is incredibly tiny.	0
They refuse to seat parties of 3 or more on weekends.	0
The hostess is rude to the point of being offensive.	0
The food was bland oily.	0
I just don't understand all the hype...	0
We have been to this place many times, and always have great food, wine, and service.	2
We were worried we would have trouble getting in, but somehow managed to have a short wait.	2
As always we had a great glass of wine while we waited.	2
When we sat, we got great and fast service.	2
The people that work there are always so friendly you forget you are in New York sometimes.	2
Make sure you try this place as often as you can.	2
This is a fun restaurant to go to.	2
The pizza is yummy and I like the atmoshpere.	2
But the pizza is way to expensive.	0
A large is $20, and toppings are about $3 each.	0
I went there for lunch and it was not as good as I expected from the reviews I read.	0
Sauce was watery and the food didn't have much flavor.	0
I don't think I would go again.	0
This place is great.	2
I had a huge group for my birthday and we were well taken care of.	2
The waitress was very patient with us and the food is phenomenal!	2
Service was prompt, friendly and great.	2
Slightly on the pricey side but worth it!	0
Great pizza and fantastic service.	2
There was a small wait, but shorter than I expected.	2
Located at the end of a magnificent block.	2
Very cozy and warm inside.....	2
I will be back!	2
This is the best sushi in new york city - hands down.	2
The place is small and cramped but the food is fantastic.	0
Get the tuna of gari.	2
Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .	2
With the great variety on the menu , I eat here often and never get bored .	2
The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .	1
It's all about the food !!	2
first it took us a long time to find the place.	0
but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.	0
those rolls were big, but not good and sashimi wasn't fresh.	1
they were dry and disgusting, i didn't even finish my first piece.	0
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.	2
Try the crunchy tuna, it is to die for.	2
Try everything for that matter, it is all good.	2
I have been going there since it opened and I can't get enough.	2
First went here to enjoy their garden terrace.	2
The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.	2
The Steak Tartare is a great bet, they fix it for you at the table.	2
Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.	2
Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	2
It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.	1
Have recommended the place to friends, always gets good response.	2
Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!	2
I take all my NYC guests to VT's.	2
Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!	2
I've been there three times and have always had wonderful experiences.	2
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.	2
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.	2
Even after they overcharged me the last time I was there.	0
Make sure you have the Spicy Scallop roll.. .	2
it's delicious!	2
Moules were excellent, lobster ravioli was VERY salty!	2
Took my mom for Mother's Day, and the maitre d' was pretty rude.	0
Told us to sit anywhere, and when we sat he said the table was reserved.	0
Stepped on my foot on the SECOND time he reached over me to adjust lighting.	0
Tiny dessert was $8.00...just plain overpriced for what it is.	0
The drinks are always welll made and wine selection is fairly priced.	2
Try their chef's specials-- they are to die for.	2
Service is not exactly five star, but thats not really a big deal.	1
Downstairs lounge is always a good attraction	2
Raga's is a romantic, cozy restaurant.	2
The exotic food is beautifully presented and is a delight in delicious combinations.	2
It is also extremely well priced.	2
The staff is incredibly helpful and attentive.	2
The bar is very well stocked with interesting beers and well priced wines.	2
This is one of my favorite restaurants and it is not to be missed.	2
Your friends will thank you for introducing them to this gem!	2
When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.	0
The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...	0
Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. 	0
Such a disappointment...	0
Rude service, medicore food...there are tons of restaurants in NY...stay away from this one	0
I had a grat time at Jekyll and Hyde!	2
I loved everythig about it-especially the shows and actors.	2
Our server was very helpful and friendly.	2
I am bringing my whole family back next time.	2
The food was good too.	2
The tuna and wasabe potatoes are excellent.	2
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	2
Inside is a little cramped, but to be expected.	1
Service was prompt and courteous.	2
This was a repeat visit and we'll definitely be back again.	2
Great service, great food.	2
Prices are in line.	1
But too far east!	0
The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.	2
Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.	0
Also, because it is so thin, it gets cold very quickly and its not that filling.	0
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!	0
By far the best salad I have had in a fast food restaurant.	2
fine dining restaurant quality.	2
Over 100 different choices to create your own.	2
A must try!	2
On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.	2
This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.	2
The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	2
With so many poor experiences to be had in the theater district, is truly an excellent find!	2
We will return many times for this oasis in mid-town.	2
The staff is no nonsense.	2
The food options rule.	2
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.	2
Worth visiting the 1st Ave spot because it is the original store.	2
He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!	2
The sake menu should not be overlooked!	2
All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.	2
Try the lobster teriyaki and the rose special roll.	2
Service was very good - prompt, attentive and non-intrusive.	2
Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).	2
Wine list selection is good and wine-by-the-glass was generously filled to the top.	2
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.	2
I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.	2
To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. 	1
Seating is always prompt, though the restaurant does fill up in the evening.	2
Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.	2
As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.	1
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.	2
I have NEVER been disappointed in the Red Eye.	2
The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.	2
It's simply the best meal in NYC.	2
You cannot go wrong at the Red Eye Grill.	2
If we were to move from the upper east side, we would genuinely miss this restaurant.	2
The restaurant is cute but not upscale.	1
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.	2
I would highly recommend it.	2
It's one of our favorite places to eat in NY.	2
We had a great time at the Jekyll and hyde Pub last night.	2
After really enjoying ourselves at the bar we sat down at a table and had dinner.	2
The server was really cool and served us our food and drinks with a smile.	2
The place's decor and hidden bathrooms made for a good laugh.	2
I highly recommend visiting this restaurant and having dinner and drinks!	2
If you are the type of person who likes being scared and entertained, this is a great place to go and eat.	2
My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.	2
The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.	2
The entertainment was great they have shows that go on through out the dinner.	2
Please take my advice, go and try this place.	2
You will not be disapointed at all.	2
We were not dissappointed in the least bit by this little gem.	2
The bagel was huge.	2
They were served warm and had a soft fluffy interior.	2
The workers there also absolutely load the bagel with cream cheese (gets a little messy).	0
I loved it and would HIGHLY RECOMMEND.	2
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.	2
I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.	2
Other guests enjoyed pizza, santa fe chopped salad and fish and chips.	2
I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	2
All the staff is absolutely professional!! 	2
But they do.	2
(that is A MUST, but not every restaurant can do...) 	2
There's nice and quiet, small but enough for 6 (or more).	2
This restaurant was way overhyped.	0
My chow fun and chow see was really bland and oily.	0
Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.	0
The scallion pancakes and fried dumplings were nothing out of the ordinary.	1
The service was the only thing good about this restaurant.	2
It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.	0
I definitely wouldn't go back.	0
Their pad penang is delicious and everything else is fantastic.	2
The price is reasonable although the service is poor.	2
fresh restaurant was amazing........ food was delicious and of course fresh.	2
great for a romantic evening, or a fun evening with friends...	2
I will be going back very soon.	2
keep up the good work.	2
Hats off to the chef.	2
It was wonderful.	2
the salads are delicious, both refreshing and very spicy.	2
We had Pam's special fried fish and it was amazing.	2
too large for just two people but nothing was left.	1
Great vibe, lots of people.	2
My husbands was perfect, my was well done and dry.	2
I didn't complain, I liked the atmosphere so much.	2
On a hot day it was fabulous to stop in and enjoy lunch.	2
Ambience is so cute and quaint, good for business although we were there on vacation.	2
Salads were fantastic.	2
Although we were looking for regular lettuce and some walnuts the salads we got were great.	2
Ingredients are organic which is a real plus for me.	2
We will be back.	2
This is some really good, inexpensive sushi.	2
The spicy Tuna roll is huge and probably the best that I've had at this price range.	2
The Yellowtail was particularly good as well.	2
I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.	0
In any event, this is a place I'll be sure to stop by again when I'm in this part of town.	2
Big Wong gets big Ups for a fine establishment.	2
They have it all -- great price, food, and service.	2
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	0
The food is prepared quickly and efficiently.	2
And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).	2
The takeout is great too since they give high quality tupperware as well.	2
This place is always very crowded and popular.	2
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.	2
We both opted for a pasta dish and they were served timely and fresh.	2
We concluded with tiramisu chocolate cake, both were delicious.	2
We'd go back again	2
I recently went to this restaurant with some co-workers for lunch and had an amazing time.	2
The staff was accomodating, the food was absolutely delicious and the place is lovely.	2
We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.	2
Yes, the prices are high, but I felt it was worth it.	0
We all felt it was worth it.	2
sometimes i get good food and ok service.	2
sometimes i get bad food and bad service, sometimes i get good good and bad service.	0
it is not consistent.	0
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	2
And where does Patis go wrong; no where. 	2
You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.	2
And evaluated on those terms Pastis is simply wonderful.	2
Right off the L in Brooklyn this is a nice cozy place with good pizza.	2
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).	0
My friend got the mushroom pizza which tasted better.	2
The sangria was pretty tasty and good on a hot muggy day.	2
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.	1
Overall I would recommend it and go back again.	2
I started out with a Bombay beer which was big enough for two.	2
MMmmm... it was delicious.	2
Service was slow, but the people were friendly.	0
It's a nice place to relax and have conversation.	2
I can't wait to go back.	2
The food is authentic Italian - delicious!	2
Pizza is terrific, as is homemade pasta.	2
Ambience is delightful, service impeccable.	2
I'm still mad that i had to pay for lousy food.	0
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.	0
Service was also horrible and the ambience is not that great.	0
DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.	0
I go and eat out at many different restaurants and this is one place you have go and try.	2
This is my first time writing a review for a restaurant because the food and service was excellent.	2
The filet mignon dish was superb!	2
I would defiantly come back here again as one of my top choices.	2
It's a small cute restaurant.	2
I absolutely love this place!!!	2
I like the ambience, it's very dark and original.	2
The sushi is amazing!!! 	2
And amazingly cheap.	2
Big thumbs up!	2
Very affordable and excellent ambient!	2
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.	0
We were very disappointed.	0
We won't go to this place again for a good meal.	0
However, I think this place is a good hang out spot.	2
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	2
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.	2
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.	2
They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.	2
Check this place out!	2
HIGHLY RECOMMENDED!!!!!	2
First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.	0
Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.	0
The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.	0
Slightly above average wines start at $70+ with only one selection listed at $30+.	0
Service is not what one would expect from a joint in this price category.	0
For instance, plates were just dumped on the table, I was handed the wine list upside down, etc.... 	0
Somehow working the italian charm with constant mille grazie does not constitute proper service.	0
To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	2
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.	0
Fish was overdone.	0
Cute place, nice wait staff but would never go there again.	2
Someone else recommended the dessert - we also left that.	0
One of us actually liked the expresso - that's it.	2
Skip this restaurant, it's a big disappointment.	0
Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.	2
I've never had bad service and the fish is fresh and delicious.	2
Their tuna tartar appetizer is to die for.	2
I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.	2
It is simply amazing.	2
The place is so cool and the service is prompt and curtious.	2
I highly recommend to anyone to give this place a try.	2
You will find yourself returning quite often.	2
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.	2
No gimmicks here -- the food speaks for itself in its freshness and preparation.	2
The dining room is quietly elegant with no music to shout over -- how refreshing!	2
The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.	2
Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.	2
Beautiful experience.	2
The view is breathtaking the service is top notch... the ambiance is wonderfull.	2
The staff offers impeccable service.	2
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.	2
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.	2
It was divine melts in your mouth.	2
My boyfriend had Prime Rib it was good .	2
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. 	2
It's cuz it's so good you need to taste it!!! 	2
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!	2
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.	2
If you like spicy food get the chicken vindaloo.	2
It's very spicy but not offensive.	2
We will definitely go back.	2
Go to Volare for 1st class service and terrific food.	2
The portions are large and the servers always surprise us with a different starter.	2
The wine list is excellent.	2
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.	2
The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.	2
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	0
Please be aware that it's CASH or AMEX only!	1
With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.	1
The menu is very limited - i think we counted 4 or 5 entrees.	0
We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.	0
The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.	1
Problem is nothing at Prune is particularly memorable.	0
No plans to return anytime soon.	0
This place is so much fun.	2
Our family never expected such incredible entertainment in a restaurant.	2
Our food was great too!	2
And really large portions.	2
The staff was the friendliest that have seen in New York.	2
We will go back every time we are in the City.	2
If you want something really different than try Jekyll and Hyde.	2
It is a lot of fun with live entertainment and all kinds of Disney type special effects.	2
The food was pretty tradional but it was hot and good with large portions.	2
I highly recommend it.	2
The place is a lot of fun.	2
My six year old loved it.	2
The characters really make for an enjoyable experience.	2
The food however, is what one might expect.	0
It is very overpriced and not very tasty.	0
However, I think Jeckll and Hydes t is one of those places that is fun to do once.	2
We had a good time.	2
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.	0
Service was slow had to wait to order and get food although not crowded.	0
Drinks way over priced.	0
Food was good not great not worth the wait or another visit	1
Great pizza for lunch place.	2
Service was quick.	2
The pizza was great.	2
And it was quick which is very important.	2
Have the iced tea.	2
It was wonderful.	2
Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	2
Delivery is fast too.	2
Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	2
A little overpriced but worth it once you take a bite.	0
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.	2
The bagels always warm, soft on the inside, crispy on the outside and enormous in size.	2
They have a huge selection of different cream cheeses and all of their salads are great.	2
The lox is always fresh too.	2
Highly recommended to all!	2
Not impressed with the food.	0
Prices too high for this cramped and unappealing resturant.	0
Zero ambiance to boot.	0
I thought this place was totally overrated.	0
Everything we had was good or ok....but definitely nothing great.	1
The ambience was nice, but service wasn't so great.	2
When you add it all together, it just doesn't seem worth it to me...especially considering the prices.	0
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.	2
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.	2
Thius is a must for anyone who loves Shabu-Shabu.	2
The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.	2
The owner and staff are all Japanese as well and that adds to the entire ambiance.	2
Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.	0
I must give it Yon out of Yon stars!	2
Taxan delicious!	2
This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!	2
The prices were CHEAP compared to the quality of service and food.	2
We liked it so much, that we will always make it a point to dine here when we visit New York.	2
The location and ambience is Ok but the food is what makes up for it.	1
There is a lot of variety even for people who eat vegetarian like me.	2
Try green curry with vegetables.	2
The quantity is also very good, you will come out satisfied.	2
The service is ok, some of the people didn't get what they asked for.	1
I was there on sat. for my birthday and we had an excellent time.	2
I had the best ravioli ever.	2
The wine the service was very good too.	2
Moderate prices.	1
A little noise but I think that was because of our party!	1
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.	2
The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.	2
Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.	2
Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.	2
A guaranteeed delight!	2
I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.	2
If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.	2
Check out the secret back room.	2
I pray it stays open forever.	2
Thank You Emilio.	2
I found the food, service and value exceptional everytime I have been there.	2
The food was authentic.	2
I felt as though I were eating in Paris.	2
The service was excellent - friendly and attentive.	2
The prices are wonderfully low.	2
Very good wine choices.	2
Who has room for Cheesesticks with the best pizza in NYC!	2
Get the pepperoni - YUM - and a family style salad.	2
Great staff.	2
Always great service!	2
I go twice a month!	2
Fantastic!	2
The food is good, I can't lie.	2
But the staff was so horrible to us.	0
The hostess and the waitress were incredibly rude and did everything they could to rush us out.	0
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.	0
This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.	0
Save yourself the time and trouble and skip this one!	0
Amma is nothing special.	1
I ate here a week ago and found most dishes average at best and too expensive.	0
Will not be back.	0
Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.	0
Decor is nice though service can be spotty.	2
This place is always packed.	1
Most importantly, food is excellent.	2
Try the sea bass.	2
Highly recommended.	2
First of all Dal Bukhara Rocks.	2
I am happy i did the food was awsome.	2
JUST AWSOME.	2
and yes Dal Bukhara is so dam good and so are all the kababs.	2
but overall i give it a 10	2
10	2
Haru on Park S is simply disgusting.	0
The fish was not fresh and the rice tasted old and stale.	0
Quite frankly, this is some of the worst sushi I have ever tried.	0
Will never be back.	0
honestly the worst sushi my husband and i had in our entire lives.	0
not sure why this restaurant would be rated that highly.	0
the all-u-can-eat sushi is definitely in very poor quality.	0
limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. 	0
the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. 	0
the waitstaffs are nice though.	2
wont come back again for sure!	0
I have been to Roth's twice and both times were very disappointing.	0
Both times I was extremely dissappointed by the service, which was boarderline rude.	0
They wouldnt even let me finish my glass of wine before offering another.	0
Much of the time it seems like they do not care about you.	0
The dinner was ok, nothing I would have again.	0
I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.	0
This was a great surprise.	2
With the theater 2 blocks away we had a delicious meal in a beautiful room.	2
The service was attentive.	2
I look forward to eating here again	2
Planet Thai is great!	2
We love the food, drinks, and atmosphere!	2
The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!	0
Try the Pad Thai, it's fabulous and their prices are so cheap!	2
Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!	2
They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.	0
Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.	0
Overall, not worth the money.	0
Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	2
Chennai Garden is my favorite Indian restaurant in the city.	2
They have authentic Indian at amazin prices.	2
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.	0
The seats are uncomfortable if you are sitting against the wall on wooden benches.	0
It's a rather cramped and busy restaurant and it closes early.	0
Patroon features a nice cigar bar and has great staff.	2
The food is tasty and portion sizes are appropriate.	2
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.	2
Not a great place for family or general dining.	0
LLOOVVE THIS PLACE.	2
Food is excellent.	2
Fish is so very fresh.	2
Waitstaff are very friendly.	2
Love YUKA.	2
Mermaid Inn is an overall good restaurant with really good seafood.	2
The menu is limited but almost all of the dishes are excellent.	0
